DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
7/20/2018 13:00,16.52899,0,691,83,268,74,170.6,38.1,69633.25781
7/20/2018 14:00,15.01801,0,657,82,240,73,154.2,34.2,58106.13281
7/20/2018 15:00,15.01801,0,558,76,170,67,140.1,27.2,43191.66016
7/20/2018 16:00,15.01801,0,400,65,60,55,128.4,18,30330.46875
7/20/2018 17:00,8.123993,0,205,45,39,39,119.2,7.3,4818.593262
7/20/2018 18:00,8.123993,0,32,13,12,12,111.4,0,4670.698242
7/21/2018 8:00,12.82001,0,33,13,9,9,119.2,7.5,21288.85352
7/21/2018 9:00,12.82001,0,209,42,35,30,128.4,18.2,47115.79688
7/21/2018 10:00,12.82001,0,407,60,129,53,140.1,27.4,60021.10156
7/21/2018 11:00,17.50299,0,565,70,209,63,154.2,34.4,68580.77344
7/21/2018 12:00,17.50299,0,666,75,259,67,171.1,38.3,70591.28906
7/21/2018 13:00,17.50299,0,701,76,271,69,170.6,38.3,69468.42969
7/21/2018 14:00,16.74399,0,667,75,242,68,154.1,34.4,63352.44922
7/21/2018 15:00,16.74399,0,567,70,172,63,140,27.4,48244.43359
7/21/2018 16:00,16.74399,0,409,60,60,51,128.3,18.1,32091.93945
7/21/2018 17:00,10.31299,0,211,42,37,37,119.2,7.4,4888.437012
7/21/2018 18:00,10.31299,0,34,13,12,12,111.3,0,4645.969727
7/22/2018 8:00,15.41599,0,35,12,8,8,119.1,7.6,20749.42773
7/22/2018 9:00,15.41599,0,217,37,34,27,128.3,18.3,46202.03906
7/22/2018 10:00,15.41599,0,417,53,130,48,139.6,27.6,60288.50391
7/22/2018 11:00,18.67499,0,577,61,210,56,154.1,34.6,66928.30469
7/22/2018 12:00,18.67499,0,679,65,261,60,171,38.5,70673.75781
7/22/2018 13:00,18.67499,0,713,66,273,61,170.6,38.5,68849.61719
7/22/2018 14:00,17.703,0,679,65,244,60,154.1,34.6,61268.36719
7/22/2018 15:00,17.703,0,578,61,172,56,139.5,27.5,47504.48047
7/22/2018 16:00,17.703,0,419,53,59,46,128.3,18.2,33859.60547
7/22/2018 17:00,11.24399,0,219,38,33,33,119.1,7.5,7359.038086
7/22/2018 18:00,11.24399,0,37,12,11,11,111.2,0,4747.466309
7/23/2018 8:00,15.255,0,36,12,9,9,118.6,7.7,20749.42773
